algo,initialSort,iterations,ms
BubbleSort,Random,100,0
BubbleSort,SemiSorted,100,0
MergeSort,Random,100,0
MergeSort,SemiSorted,100,0
BubbleSort,Random,100,3
BubbleSort,SemiSorted,100,3
MergeSort,Random,100,1
MergeSort,SemiSorted,100,1
BubbleSort,Random,100,294
BubbleSort,SemiSorted,100,253
MergeSort,Random,100,10
MergeSort,SemiSorted,100,9
BubbleSort,Random,100,34636
BubbleSort,SemiSorted,100,24227
MergeSort,Random,100,124
MergeSort,SemiSorted,100,121
algo,initialSort,iterations,ms
BubbleSort,Random,100,3
BubbleSort,SemiSorted,100,3
MergeSort,Random,100,3
MergeSort,SemiSorted,100,3
BubbleSort,Random,100,77
BubbleSort,SemiSorted,100,79
MergeSort,Random,100,33
MergeSort,SemiSorted,100,36
BubbleSort,Random,100,4048
BubbleSort,SemiSorted,100,4168
MergeSort,Random,100,332
MergeSort,SemiSorted,100,397
BubbleSort,Random,100,458791
BubbleSort,SemiSorted,100,471868
MergeSort,Random,100,4320
MergeSort,SemiSorted,100,4971
